,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,gdp_per_capita_usd,generation,country_code_name,continent,sub_region,demo_group
26,Albania,1989,male,35-54 years,15,318400,4.71,833,Silent,ALB,Europe,Southern Europe,male : 35-54 years
27,Albania,1989,male,55-74 years,6,142100,4.22,833,G.I. Generation,ALB,Europe,Southern Europe,male : 55-74 years
28,Albania,1989,male,15-24 years,12,323500,3.71,833,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
29,Albania,1989,female,35-54 years,7,288600,2.43,833,Silent,ALB,Europe,Southern Europe,female : 35-54 years
30,Albania,1989,female,15-24 years,5,299900,1.67,833,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
31,Albania,1989,female,25-34 years,2,266300,0.75,833,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
32,Albania,1989,female,55-74 years,1,149600,0.67,833,G.I. Generation,ALB,Europe,Southern Europe,female : 55-74 years
36,Albania,1992,male,35-54 years,12,343800,3.49,251,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
37,Albania,1992,male,15-24 years,9,263700,3.41,251,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
38,Albania,1992,male,55-74 years,5,159500,3.13,251,Silent,ALB,Europe,Southern Europe,male : 55-74 years
39,Albania,1992,male,25-34 years,7,245500,2.85,251,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
40,Albania,1992,female,15-24 years,7,292400,2.39,251,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
41,Albania,1992,female,25-34 years,4,267400,1.5,251,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
42,Albania,1992,female,35-54 years,2,323100,0.62,251,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
43,Albania,1992,female,55-74 years,1,164900,0.61,251,Silent,ALB,Europe,Southern Europe,female : 55-74 years
48,Albania,1993,male,15-24 years,18,243300,7.4,437,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
49,Albania,1993,male,55-74 years,7,165000,4.24,437,Silent,ALB,Europe,Southern Europe,male : 55-74 years
50,Albania,1993,male,75+ years,1,24200,4.13,437,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
51,Albania,1993,male,25-34 years,9,230100,3.91,437,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
52,Albania,1993,female,15-24 years,10,285300,3.51,437,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
53,Albania,1993,male,35-54 years,10,350300,2.85,437,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
54,Albania,1993,female,25-34 years,7,261800,2.67,437,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
55,Albania,1993,female,35-54 years,7,331200,2.11,437,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
56,Albania,1993,female,55-74 years,2,169500,1.18,437,Silent,ALB,Europe,Southern Europe,female : 55-74 years
57,Albania,1993,female,05-14 years,1,340300,0.29,437,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
58,Albania,1993,male,05-14 years,1,367000,0.27,437,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
60,Albania,1994,male,75+ years,2,24600,8.13,697,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
61,Albania,1994,male,55-74 years,11,171400,6.42,697,Silent,ALB,Europe,Southern Europe,male : 55-74 years
62,Albania,1994,female,75+ years,2,39900,5.01,697,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
63,Albania,1994,male,25-34 years,6,231400,2.59,697,Boomers,ALB,Europe,Southern Europe,male : 25-34 years
64,Albania,1994,male,35-54 years,9,362800,2.48,697,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
65,Albania,1994,male,15-24 years,6,242200,2.48,697,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
66,Albania,1994,female,15-24 years,6,282600,2.12,697,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
67,Albania,1994,female,25-34 years,4,261100,1.53,697,Boomers,ALB,Europe,Southern Europe,female : 25-34 years
68,Albania,1994,female,35-54 years,2,342500,0.58,697,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
69,Albania,1994,female,55-74 years,1,174600,0.57,697,Silent,ALB,Europe,Southern Europe,female : 55-74 years
70,Albania,1994,male,05-14 years,1,371800,0.27,697,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
72,Albania,1995,male,25-34 years,13,232900,5.58,835,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
73,Albania,1995,male,55-74 years,9,178000,5.06,835,Silent,ALB,Europe,Southern Europe,male : 55-74 years
74,Albania,1995,female,75+ years,2,40800,4.9,835,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
75,Albania,1995,female,15-24 years,13,283500,4.59,835,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
76,Albania,1995,male,15-24 years,11,241200,4.56,835,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
77,Albania,1995,male,75+ years,1,25100,3.98,835,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
78,Albania,1995,male,35-54 years,14,375900,3.72,835,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
79,Albania,1995,female,25-34 years,7,264000,2.65,835,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
80,Albania,1995,female,35-54 years,8,356400,2.24,835,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
81,Albania,1995,male,05-14 years,6,376500,1.59,835,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
82,Albania,1995,female,55-74 years,2,180400,1.11,835,Silent,ALB,Europe,Southern Europe,female : 55-74 years
83,Albania,1995,female,05-14 years,2,348700,0.57,835,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
84,Albania,1996,male,75+ years,2,25400,7.87,1127,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
85,Albania,1996,male,15-24 years,17,243600,6.98,1127,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
86,Albania,1996,male,25-34 years,14,235300,5.95,1127,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
87,Albania,1996,female,15-24 years,16,287700,5.56,1127,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
88,Albania,1996,female,75+ years,2,41200,4.85,1127,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
89,Albania,1996,female,25-34 years,10,267900,3.73,1127,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
90,Albania,1996,male,35-54 years,12,379600,3.16,1127,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
91,Albania,1996,female,35-54 years,9,362000,2.49,1127,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
92,Albania,1996,male,55-74 years,3,179900,1.67,1127,Silent,ALB,Europe,Southern Europe,male : 55-74 years
93,Albania,1996,female,55-74 years,1,183100,0.55,1127,Silent,ALB,Europe,Southern Europe,female : 55-74 years
94,Albania,1996,male,05-14 years,2,380400,0.53,1127,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
95,Albania,1996,female,05-14 years,1,354100,0.28,1127,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
96,Albania,1997,male,25-34 years,36,236000,15.25,793,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
97,Albania,1997,male,15-24 years,33,244400,13.5,793,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
98,Albania,1997,male,75+ years,3,25400,11.81,793,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
99,Albania,1997,male,35-54 years,30,380800,7.88,793,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
100,Albania,1997,female,15-24 years,21,294000,7.14,793,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
101,Albania,1997,male,55-74 years,12,180300,6.66,793,Silent,ALB,Europe,Southern Europe,male : 55-74 years
102,Albania,1997,female,25-34 years,16,273900,5.84,793,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
103,Albania,1997,female,75+ years,2,42100,4.75,793,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
104,Albania,1997,female,35-54 years,7,370100,1.89,793,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
105,Albania,1997,female,05-14 years,6,361800,1.66,793,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
106,Albania,1997,male,05-14 years,4,381500,1.05,793,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
108,Albania,1998,male,75+ years,3,25800,11.63,899,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
109,Albania,1998,male,15-24 years,27,248800,10.85,899,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
110,Albania,1998,female,15-24 years,32,295600,10.83,899,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
111,Albania,1998,male,25-34 years,26,240400,10.82,899,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
112,Albania,1998,male,35-54 years,29,388200,7.47,899,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
113,Albania,1998,male,55-74 years,9,183800,4.9,899,Silent,ALB,Europe,Southern Europe,male : 55-74 years
114,Albania,1998,female,25-34 years,10,275300,3.63,899,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
115,Albania,1998,female,55-74 years,6,188200,3.19,899,Silent,ALB,Europe,Southern Europe,female : 55-74 years
116,Albania,1998,female,35-54 years,9,372100,2.42,899,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
117,Albania,1998,male,05-14 years,2,388400,0.51,899,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
118,Albania,1998,female,05-14 years,1,363800,0.27,899,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
120,Albania,1999,male,75+ years,3,25900,11.58,1127,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
121,Albania,1999,male,15-24 years,24,250600,9.58,1127,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
122,Albania,1999,female,75+ years,4,42400,9.43,1127,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
123,Albania,1999,male,35-54 years,31,391100,7.93,1127,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
124,Albania,1999,male,25-34 years,19,242300,7.84,1127,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
125,Albania,1999,male,55-74 years,14,185200,7.56,1127,Silent,ALB,Europe,Southern Europe,male : 55-74 years
126,Albania,1999,female,15-24 years,19,296800,6.4,1127,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
127,Albania,1999,female,25-34 years,13,276500,4.7,1127,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
128,Albania,1999,female,55-74 years,6,188800,3.18,1127,Silent,ALB,Europe,Southern Europe,female : 55-74 years
129,Albania,1999,female,35-54 years,5,373600,1.34,1127,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
130,Albania,1999,female,05-14 years,1,365200,0.27,1127,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
132,Albania,2000,male,25-34 years,17,232000,7.33,1299,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
133,Albania,2000,male,55-74 years,10,177400,5.64,1299,Silent,ALB,Europe,Southern Europe,male : 55-74 years
134,Albania,2000,female,75+ years,2,37800,5.29,1299,G.I. Generation,ALB,Europe,Southern Europe,female : 75+ years
135,Albania,2000,male,75+ years,1,24900,4.02,1299,G.I. Generation,ALB,Europe,Southern Europe,male : 75+ years
136,Albania,2000,female,15-24 years,6,263900,2.27,1299,Generation X,ALB,Europe,Southern Europe,female : 15-24 years
137,Albania,2000,male,15-24 years,5,240000,2.08,1299,Generation X,ALB,Europe,Southern Europe,male : 15-24 years
138,Albania,2000,female,35-54 years,5,332200,1.51,1299,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
139,Albania,2000,female,25-34 years,3,245800,1.22,1299,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
140,Albania,2000,male,35-54 years,4,374700,1.07,1299,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
141,Albania,2000,male,05-14 years,1,374900,0.27,1299,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
144,Albania,2001,male,25-34 years,22,206484,10.65,1451,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
145,Albania,2001,male,35-54 years,34,378826,8.98,1451,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
146,Albania,2001,male,55-74 years,11,196670,5.59,1451,Silent,ALB,Europe,Southern Europe,male : 55-74 years
147,Albania,2001,female,75+ years,2,47254,4.23,1451,Silent,ALB,Europe,Southern Europe,female : 75+ years
148,Albania,2001,male,15-24 years,10,256039,3.91,1451,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
149,Albania,2001,female,15-24 years,9,271359,3.32,1451,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
150,Albania,2001,female,35-54 years,12,370191,3.24,1451,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
151,Albania,2001,male,75+ years,1,31044,3.22,1451,Silent,ALB,Europe,Southern Europe,male : 75+ years
152,Albania,2001,female,55-74 years,6,189799,3.16,1451,Silent,ALB,Europe,Southern Europe,female : 55-74 years
153,Albania,2001,male,05-14 years,6,321556,1.87,1451,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
154,Albania,2001,female,25-34 years,4,222771,1.8,1451,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
155,Albania,2001,female,05-14 years,2,307356,0.65,1451,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
156,Albania,2002,male,75+ years,4,31007,12.9,1573,Silent,ALB,Europe,Southern Europe,male : 75+ years
157,Albania,2002,male,25-34 years,23,206286,11.15,1573,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
158,Albania,2002,male,35-54 years,35,382139,9.16,1573,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
159,Albania,2002,male,55-74 years,13,198130,6.56,1573,Silent,ALB,Europe,Southern Europe,male : 55-74 years
160,Albania,2002,male,15-24 years,15,263067,5.7,1573,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
161,Albania,2002,female,15-24 years,14,275970,5.07,1573,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
162,Albania,2002,female,35-54 years,15,375113,4.0,1573,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
163,Albania,2002,female,25-34 years,7,223685,3.13,1573,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
164,Albania,2002,female,75+ years,1,47407,2.11,1573,Silent,ALB,Europe,Southern Europe,female : 75+ years
165,Albania,2002,female,55-74 years,4,191712,2.09,1573,Silent,ALB,Europe,Southern Europe,female : 55-74 years
166,Albania,2002,female,05-14 years,1,304850,0.33,1573,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
167,Albania,2002,male,05-14 years,1,319473,0.31,1573,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
168,Albania,2003,female,75+ years,6,49088,12.22,2021,Silent,ALB,Europe,Southern Europe,female : 75+ years
169,Albania,2003,male,55-74 years,16,201520,7.94,2021,Silent,ALB,Europe,Southern Europe,male : 55-74 years
170,Albania,2003,male,35-54 years,28,386196,7.25,2021,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
171,Albania,2003,male,15-24 years,15,273235,5.49,2021,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
172,Albania,2003,female,15-24 years,14,283709,4.93,2021,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
173,Albania,2003,female,55-74 years,9,195699,4.6,2021,Silent,ALB,Europe,Southern Europe,female : 55-74 years
174,Albania,2003,male,25-34 years,9,205433,4.38,2021,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
175,Albania,2003,female,25-34 years,9,222941,4.04,2021,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
176,Albania,2003,female,35-54 years,13,381760,3.41,2021,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
177,Albania,2003,male,75+ years,1,32667,3.06,2021,Silent,ALB,Europe,Southern Europe,male : 75+ years
178,Albania,2003,male,05-14 years,4,313204,1.28,2021,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
180,Albania,2004,male,75+ years,4,35526,11.26,2544,Silent,ALB,Europe,Southern Europe,male : 75+ years
181,Albania,2004,male,35-54 years,39,391767,9.95,2544,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
182,Albania,2004,male,25-34 years,16,203938,7.85,2544,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
183,Albania,2004,female,15-24 years,20,292268,6.84,2544,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
184,Albania,2004,male,15-24 years,19,286768,6.63,2544,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
185,Albania,2004,female,75+ years,3,50970,5.89,2544,Silent,ALB,Europe,Southern Europe,female : 75+ years
186,Albania,2004,female,25-34 years,11,222389,4.95,2544,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
187,Albania,2004,male,55-74 years,10,207202,4.83,2544,Silent,ALB,Europe,Southern Europe,male : 55-74 years
188,Albania,2004,female,35-54 years,17,391436,4.34,2544,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
189,Albania,2004,female,55-74 years,3,203841,1.47,2544,Silent,ALB,Europe,Southern Europe,female : 55-74 years
190,Albania,2004,female,05-14 years,3,286705,1.05,2544,Millenials,ALB,Europe,Southern Europe,female : 05-14 years
191,Albania,2004,male,05-14 years,1,302181,0.33,2544,Millenials,ALB,Europe,Southern Europe,male : 05-14 years
216,Albania,2007,male,75+ years,8,42366,18.88,3863,Silent,ALB,Europe,Southern Europe,male : 75+ years
217,Albania,2007,male,35-54 years,29,378626,7.66,3863,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
218,Albania,2007,male,55-74 years,14,224160,6.25,3863,Silent,ALB,Europe,Southern Europe,male : 55-74 years
219,Albania,2007,female,75+ years,3,57404,5.23,3863,Silent,ALB,Europe,Southern Europe,female : 75+ years
220,Albania,2007,male,25-34 years,9,172494,5.22,3863,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
221,Albania,2007,female,15-24 years,13,281080,4.63,3863,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
222,Albania,2007,male,15-24 years,13,288349,4.51,3863,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
223,Albania,2007,female,25-34 years,8,183629,4.36,3863,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
224,Albania,2007,female,55-74 years,9,221120,4.07,3863,Silent,ALB,Europe,Southern Europe,female : 55-74 years
225,Albania,2007,female,35-54 years,14,391811,3.57,3863,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
226,Albania,2007,male,05-14 years,4,272497,1.47,3863,Generation Z,ALB,Europe,Southern Europe,male : 05-14 years
228,Albania,2008,male,25-34 years,21,172855,12.15,4672,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
229,Albania,2008,male,35-54 years,37,377119,9.81,4672,Boomers,ALB,Europe,Southern Europe,male : 35-54 years
230,Albania,2008,male,55-74 years,21,228672,9.18,4672,Silent,ALB,Europe,Southern Europe,male : 55-74 years
231,Albania,2008,female,75+ years,5,59369,8.42,4672,Silent,ALB,Europe,Southern Europe,female : 75+ years
232,Albania,2008,female,15-24 years,20,276073,7.24,4672,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
233,Albania,2008,female,25-34 years,9,182663,4.93,4672,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
234,Albania,2008,female,35-54 years,19,393832,4.82,4672,Boomers,ALB,Europe,Southern Europe,female : 35-54 years
235,Albania,2008,male,75+ years,2,44574,4.49,4672,Silent,ALB,Europe,Southern Europe,male : 75+ years
236,Albania,2008,male,15-24 years,11,286702,3.84,4672,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
237,Albania,2008,female,55-74 years,7,226448,3.09,4672,Silent,ALB,Europe,Southern Europe,female : 55-74 years
238,Albania,2008,male,05-14 years,7,262464,2.67,4672,Generation Z,ALB,Europe,Southern Europe,male : 05-14 years
239,Albania,2008,female,05-14 years,1,246288,0.41,4672,Generation Z,ALB,Europe,Southern Europe,female : 05-14 years
252,Albania,2010,male,55-74 years,20,241852,8.27,4359,Silent,ALB,Europe,Southern Europe,male : 55-74 years
253,Albania,2010,male,35-54 years,20,371611,5.38,4359,Generation X,ALB,Europe,Southern Europe,male : 35-54 years
254,Albania,2010,male,25-34 years,9,179720,5.01,4359,Generation X,ALB,Europe,Southern Europe,male : 25-34 years
255,Albania,2010,male,75+ years,2,50767,3.94,4359,Silent,ALB,Europe,Southern Europe,male : 75+ years
256,Albania,2010,male,15-24 years,10,279508,3.58,4359,Millenials,ALB,Europe,Southern Europe,male : 15-24 years
257,Albania,2010,female,25-34 years,6,183579,3.27,4359,Generation X,ALB,Europe,Southern Europe,female : 25-34 years
258,Albania,2010,female,75+ years,2,64415,3.1,4359,Silent,ALB,Europe,Southern Europe,female : 75+ years
259,Albania,2010,female,35-54 years,12,394593,3.04,4359,Generation X,ALB,Europe,Southern Europe,female : 35-54 years
260,Albania,2010,female,55-74 years,7,241491,2.9,4359,Silent,ALB,Europe,Southern Europe,female : 55-74 years
261,Albania,2010,female,15-24 years,6,263581,2.28,4359,Millenials,ALB,Europe,Southern Europe,female : 15-24 years
262,Albania,2010,female,05-14 years,2,223969,0.89,4359,Generation Z,ALB,Europe,Southern Europe,female : 05-14 years
324,Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,7744,Silent,ATG,Americas,Caribbean,male : 35-54 years
360,Antigua and Barbuda,1993,male,25-34 years,1,6668,15.0,8453,Boomers,ATG,Americas,Caribbean,male : 25-34 years
420,Antigua and Barbuda,2000,male,55-74 years,1,3333,30.0,11021,Silent,ATG,Americas,Caribbean,male : 55-74 years
421,Antigua and Barbuda,2000,male,35-54 years,1,10033,9.97,11021,Boomers,ATG,Americas,Caribbean,male : 35-54 years
432,Antigua and Barbuda,2001,male,35-54 years,2,10281,19.45,10468,Boomers,ATG,Americas,Caribbean,male : 35-54 years
456,Antigua and Barbuda,2003,male,55-74 years,1,3594,27.82,10878,Silent,ATG,Americas,Caribbean,male : 55-74 years
468,Antigua and Barbuda,2004,male,55-74 years,1,3665,27.29,11535,Silent,ATG,Americas,Caribbean,male : 55-74 years
469,Antigua and Barbuda,2004,male,35-54 years,1,11406,8.77,11535,Boomers,ATG,Americas,Caribbean,male : 35-54 years
504,Antigua and Barbuda,2007,male,35-54 years,1,12530,7.98,15775,Boomers,ATG,Americas,Caribbean,male : 35-54 years
612,Argentina,1987,male,75+ years,200,369800,54.08,4026,G.I. Generation,ARG,Americas,South America,male : 75+ years
613,Argentina,1987,male,55-74 years,532,2034500,26.15,4026,G.I. Generation,ARG,Americas,South America,male : 55-74 years
614,Argentina,1987,male,35-54 years,482,3409100,14.14,4026,Silent,ARG,Americas,South America,male : 35-54 years
615,Argentina,1987,female,75+ years,57,547000,10.42,4026,G.I. Generation,ARG,Americas,South America,female : 75+ years
616,Argentina,1987,female,55-74 years,224,2347300,9.54,4026,G.I. Generation,ARG,Americas,South America,female : 55-74 years
617,Argentina,1987,male,25-34 years,192,2276200,8.44,4026,Boomers,ARG,Americas,South America,male : 25-34 years
618,Argentina,1987,male,15-24 years,179,2460600,7.27,4026,Generation X,ARG,Americas,South America,male : 15-24 years
619,Argentina,1987,female,35-54 years,209,3418300,6.11,4026,Silent,ARG,Americas,South America,female : 35-54 years
620,Argentina,1987,female,25-34 years,89,2226200,4.0,4026,Boomers,ARG,Americas,South America,female : 25-34 years
621,Argentina,1987,female,15-24 years,93,2398400,3.88,4026,Generation X,ARG,Americas,South America,female : 15-24 years
622,Argentina,1987,male,05-14 years,15,3101300,0.48,4026,Generation X,ARG,Americas,South America,male : 05-14 years
623,Argentina,1987,female,05-14 years,14,3010700,0.47,4026,Generation X,ARG,Americas,South America,female : 05-14 years
624,Argentina,1988,male,75+ years,216,392000,55.1,4458,G.I. Generation,ARG,Americas,South America,male : 75+ years
625,Argentina,1988,male,55-74 years,550,2079000,26.46,4458,G.I. Generation,ARG,Americas,South America,male : 55-74 years
626,Argentina,1988,male,35-54 years,477,3503000,13.62,4458,Silent,ARG,Americas,South America,male : 35-54 years
627,Argentina,1988,female,75+ years,61,602000,10.13,4458,G.I. Generation,ARG,Americas,South America,female : 75+ years
628,Argentina,1988,female,55-74 years,233,2412000,9.66,4458,G.I. Generation,ARG,Americas,South America,female : 55-74 years
629,Argentina,1988,male,25-34 years,215,2276000,9.45,4458,Boomers,ARG,Americas,South America,male : 25-34 years
630,Argentina,1988,male,15-24 years,211,2524000,8.36,4458,Generation X,ARG,Americas,South America,male : 15-24 years
631,Argentina,1988,female,35-54 years,198,3508000,5.64,4458,Silent,ARG,Americas,South America,female : 35-54 years
632,Argentina,1988,female,15-24 years,101,2459000,4.11,4458,Generation X,ARG,Americas,South America,female : 15-24 years
633,Argentina,1988,female,25-34 years,61,2228000,2.74,4458,Boomers,ARG,Americas,South America,female : 25-34 years
634,Argentina,1988,male,05-14 years,20,3210000,0.62,4458,Generation X,ARG,Americas,South America,male : 05-14 years
635,Argentina,1988,female,05-14 years,11,3115000,0.35,4458,Generation X,ARG,Americas,South America,female : 05-14 years
636,Argentina,1989,male,75+ years,208,400000,52.0,2670,G.I. Generation,ARG,Americas,South America,male : 75+ years
637,Argentina,1989,male,55-74 years,548,2105000,26.03,2670,G.I. Generation,ARG,Americas,South America,male : 55-74 years
